origin,dest,count
12TH,19TH,70929.52380952383
12TH,LAKE,11412.238095238094
12TH,WOAK,62908.23809523807
16TH,24TH,49224.000000000044
16TH,CIVC,61179.76190476191
19TH,12TH,69856.19047619039
19TH,MCAR,65737.47619047624
24TH,16TH,53086.142857142855
24TH,GLEN,40989.09523809529
ANTC,PCTR,2853.8571428571418
ASHB,DBRK,25261.42857142858
ASHB,MCAR,27729.476190476205
BALB,DALY,26828.80952380952
BALB,GLEN,37893.571428571384
BAYF,CAST,13267.952380952383
BAYF,HAYW,18276.71428571428
BAYF,SANL,35015.71428571427
BERY,MLPT,0.0
CAST,BAYF,13377.047619047613
CAST,WDUB,10957.09523809524
CIVC,16TH,57151.761904761945
CIVC,POWL,72388.61904761902
COLM,DALY,21220.619047619046
COLM,SSAN,16116.238095238097
COLS,FTVL,43045.47619047617
COLS,OAKL,953.142857142857
COLS,SANL,38748.61904761904
CONC,NCON,8913.190476190477
CONC,PHIL,13894.428571428572
DALY,BALB,28356.95238095236
DALY,COLM,19725.000000000004
DBRK,ASHB,24150.85714285716
DBRK,NBRK,19132.761904761905
DELN,PLZA,11239.380952380958
DELN,RICH,4142.142857142858
DUBL,WDUB,7851.5714285714275
EMBR,MONT,84714.47619047626
EMBR,WOAK,107806.38095238106
FRMT,UCTY,9074.904761904763
FRMT,WARM,3912.9999999999995
FTVL,COLS,42337.38095238094
FTVL,LAKE,47582.52380952377
GLEN,24TH,44272.95238095235
GLEN,BALB,35156.04761904763
HAYW,BAYF,18675.619047619053
HAYW,SHAY,15054.285714285716
LAFY,ORIN,28458.00000000001
LAFY,WCRK,25318.809523809494
LAKE,12TH,11332.952380952389
LAKE,FTVL,46950.666666666686
LAKE,WOAK,39518.52380952379
MCAR,19TH,64568.57142857141
MCAR,ASHB,28711.714285714294
MCAR,ROCK,34931.09523809524
MLBR,SBRN,5851.333333333332
MLBR,SFIA,182.0
MLPT,BERY,0.0
MLPT,WARM,0.0
MONT,EMBR,91681.142857143
MONT,POWL,69663.9047619048
NBRK,DBRK,18747.380952380958
NBRK,PLZA,15604.523809523806
NCON,CONC,9321.666666666657
NCON,PITT,7256.857142857147
OAKL,COLS,1002.3809523809525
ORIN,LAFY,28257.523809523795
ORIN,ROCK,30933.61904761905
PCTR,ANTC,2702.2857142857156
PCTR,PITT,4019.4761904761895
PHIL,CONC,13391.61904761905
PHIL,WCRK,20666.000000000007
PITT,NCON,7503.666666666663
PITT,PCTR,3729.952380952381
PLZA,DELN,11440.095238095242
PLZA,NBRK,15330.238095238094
POWL,CIVC,66365.00000000009
POWL,MONT,79289.85714285722
RICH,DELN,4283.285714285714
ROCK,MCAR,34826.47619047619
ROCK,ORIN,30736.52380952378
SANL,BAYF,34435.42857142855
SANL,COLS,39297.19047619048
SBRN,MLBR,5358.666666666669
SBRN,SFIA,4509.523809523812
SBRN,SSAN,14431.142857142868
SFIA,MLBR,225.04761904761904
SFIA,SBRN,5352.857142857144
SHAY,HAYW,15382.190476190483
SHAY,UCTY,12753.333333333336
SSAN,COLM,17467.095238095244
SSAN,SBRN,13117.999999999995
UCTY,FRMT,9053.095238095242
UCTY,SHAY,12942.571428571433
WARM,FRMT,4011.666666666666
WARM,MLPT,0.0
WCRK,LAFY,25598.85714285715
WCRK,PHIL,20207.57142857141
WDUB,CAST,10982.571428571422
WDUB,DUBL,7682.0
WOAK,12TH,64071.23809523814
WOAK,EMBR,108172.28571428572
WOAK,LAKE,38714.71428571427
